gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0036971,Trevor Lawrence,QB,JAX,tmag85,1,0,0,7523,2026-09-22T22:24:22Z,27.0,5,,ACT,1.0,2021,2.0,2.7058823529411766,0.0,2.7058823529411766,0.946764705882353,17.07073529411765,-0.0,0.12,current,75% current / 25% prior,18.853333333333335,2026,3,sleeper,2026-09-22T22:24:23Z,32.74,236.41,1.38,0.48,4.86,19.45,0.27,,,,,17.94,17.94,17.94,4.86,0.176,,18.06,0.5,3.8,0.0,3.8,NE,45.5,1,29.0,0.91,16.8,50% projection,1.0,1.0,0.56,Med,,"3.8 exp opps (proj 5, recent 3) · QB1 · vs NE (DvP 29, -9%) · Med confidence",1.0,6.667,19.0,4.5,0.964,28.0,20.1
00-0033077,Dak Prescott,QB,DAL,Taylor894,1,0,0,3294,2026-09-22T22:24:22Z,33.1,10,,ACT,135.0,2016,2.0,3.0294117647058822,0.0,3.0294117647058822,0.9876470588235294,21.174411764705887,2.0,-0.0,current,75% current / 25% prior,15.286666666666667,2026,3,sleeper,2026-09-22T22:24:23Z,36.51,270.8,1.57,0.61,2.49,9.05,0.08,,,,,17.74,17.74,17.74,2.49,0.101,,17.89,0.5,2.8,0.0,2.8,BAL,52.5,1,18.0,0.992,16.5,50% projection,1.0,1.0,0.82,High,,"2.8 exp opps (proj 2, recent 3) · QB1 · vs BAL (DvP 18, -1%) · High confidence",1.0,5.0,19.0,3.1,0.956,29.8,22.4
00-0038128,Malik Willis,QB,MIA,tmag85,0,0,0,8161,2026-09-22T22:24:22Z,27.3,4,,ACT,86.0,2022,2.0,4.375,0.0,4.375,0.855625,14.14125,-4.0,-0.0,current,75% current / 25% prior,20.566666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,28.11,211.51,0.78,0.41,5.33,24.56,0.25,,,,,14.98,14.98,14.98,5.33,0.209,,15.13,0.5,4.9,0.0,4.9,KC,46.5,1,30.0,0.902,16.1,50% projection,1.0,1.0,0.82,High,,"4.9 exp opps (proj 5, recent 4) · QB1 · vs KC (DvP 30, -10%) · High confidence",0.943,8.333,4.0,6.8,0.867,24.6,12.9
00-0036355,Justin Herbert,QB,LAC,jakelotwin,1,0,0,6797,2026-09-22T22:24:22Z,28.5,6,,ACT,6.0,2020,2.0,4.296875,0.0,4.296875,0.99203125,12.41,-2.0,-0.0,current,75% current / 25% prior,13.426666666666668,2026,3,sleeper,2026-09-22T22:24:23Z,32.48,228.25,1.06,0.57,4.23,21.46,0.17,,,,,15.81,15.81,15.81,4.23,0.165,,15.97,0.5,4.3,0.0,4.3,BUF,50.5,0,6.0,1.082,15.9,50% projection,1.0,1.0,0.98,High,,"4.3 exp opps (proj 4, recent 4) · QB1 · vs BUF (DvP 6, +8%) · High confidence",1.0,7.333,18.0,5.1,0.972,30.6,15.9
00-0036442,Joe Burrow,QB,CIN,tmag85,1,0,0,6770,2026-09-22T22:24:22Z,29.8,6,,ACT,1.0,2020,2.0,2.6875,0.0,2.6875,0.969375,15.579374999999999,-4.0,-0.0,current,75% current / 25% prior,17.826666666666668,2026,3,sleeper,2026-09-22T22:24:23Z,35.89,260.62,1.65,1.04,3.11,9.65,0.06,,,,,17.16,17.16,17.16,3.11,0.128,,17.31,0.5,2.9,0.0,2.9,PIT,42.5,0,31.0,0.895,15.7,50% projection,1.0,1.0,0.86,High,,"2.9 exp opps (proj 3, recent 3) · QB1 · vs PIT (DvP 31, -10%) · High confidence",1.0,3.333,9.0,2.2,0.969,25.9,17.7
00-0036264,Jordan Love,QB,GB,mastuhbruce,0,0,0,6804,2026-09-22T22:24:22Z,27.9,6,,ACT,26.0,2020,2.0,1.1583333333333332,0.0,1.1583333333333332,0.9856666666666667,16.399,-1.0,-0.0,current,75% current / 25% prior,13.353333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,32.36,232.32,1.56,1.15,3.31,15.01,0.08,,,,,16.18,16.18,16.18,3.31,0.122,,16.36,0.5,2.2,0.0,2.2,ATL,43.5,1,11.0,1.045,15.5,50% projection,1.0,1.0,0.35,Low,,"2.2 exp opps (proj 3, recent 1) · QB1 · vs ATL (DvP 11, +4%) · Low confidence",1.0,4.667,16.0,2.9,0.986,26.8,15.9
00-0030565,Geno Smith,QB,NYJ,njmoses,0,0,0,1373,2026-09-22T22:24:22Z,36.0,13,,ACT,39.0,2013,2.0,4.808333333333334,0.0,4.808333333333334,0.9911666666666666,12.228333333333335,-1.0,-0.0,current,75% current / 25% prior,11.340000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,32.0,224.59,1.16,0.62,3.17,13.53,0.09,,,,,14.69,14.69,14.69,3.17,0.131,,14.9,0.5,4.0,0.0,4.0,DET,47.5,0,1.0,1.12,14.7,50% projection,1.0,1.0,0.66,Med,,"4.0 exp opps (proj 3, recent 5) · QB1 · vs DET (DvP 1, +12%) · Med confidence",1.0,4.0,17.0,3.1,0.969,22.7,12.8
00-0039851,Drake Maye,QB,NE,mastuhbruce,1,0,0,11564,2026-09-22T22:24:22Z,24.1,2,,ACT,3.0,2024,2.0,5.654411764705882,0.014705882352941176,5.639705882352941,0.9894117647058824,11.865882352941176,-3.0,-0.0,current,75% current / 25% prior,12.526666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,32.04,253.6,1.04,0.95,5.45,27.22,0.18,,,,,17.01,17.01,17.01,5.45,0.204,,17.16,0.5,5.6,0.0,5.5,JAX,45.5,0,22.0,0.962,14.3,50% projection,1.0,1.0,0.96,High,,"5.6 exp opps (proj 5, recent 6) · QB1 · vs JAX (DvP 22, -4%) · High confidence",1.0,8.0,19.0,6.1,0.962,27.2,20.2
00-0040676,Cam Ward,QB,TEN,mastuhbruce,0,0,0,12522,2026-09-22T22:24:22Z,24.3,1,,ACT,1.0,2025,2.0,3.5735294117647056,0.0,3.5735294117647056,0.9866176470588235,14.64,-0.0,-0.0,current,75% current / 25% prior,13.633333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,32.55,205.68,0.74,0.43,2.93,12.83,0.15,,,,,12.77,12.77,12.77,2.93,0.123,,12.94,0.5,3.3,0.0,3.3,NYG,39.5,0,8.0,1.068,14.2,50% projection,1.0,1.0,0.82,High,,"3.3 exp opps (proj 3, recent 4) · QB1 · vs NYG (DvP 8, +7%) · High confidence",1.0,3.667,18.0,2.5,1.0,18.4,11.7
00-0034855,Baker Mayfield,QB,TB,ohsobenji,1,0,0,4892,2026-09-22T22:24:22Z,31.4,8,,ACT,1.0,2018,2.0,4.1838235294117645,0.0,4.1838235294117645,0.9927941176470588,12.931323529411767,-1.0,-0.0,current,75% current / 25% prior,13.013333333333334,2026,3,sleeper,2026-09-22T22:24:23Z,31.75,222.6,1.44,0.73,3.56,15.88,0.12,,,,,16.11,16.11,16.11,3.56,0.127,,16.24,0.5,3.9,0.0,3.9,MIN,42.5,1,25.0,0.94,13.7,50% projection,1.0,1.0,0.85,High,,"3.9 exp opps (proj 4, recent 4) · QB1 · vs MIN (DvP 25, -6%) · High confidence",1.0,5.333,19.0,3.4,0.974,22.6,17.7
