gsis_id,name,position,team,sleeper_id,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts,trending_add
00-0041081,Max Bredeson,RB,MIN,13516,24.0,0,,ACT,159.0,2026,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,0.01,0.04,0.0,0.06,0.05,0.4,0.0,0.11,0.09,0.06,0.06999999999999999,0.0,0.002,0.09,1.0,0.1,0.1,0.0,TB,42.5,0,17.0,1.0,0.1,projection only,,,0.36,Low,,"0.1 exp opps (proj 0) · 0% of team carries · vs TB (DvP 17, +0%) · Low confidence",,,,,,,,0
00-0037617,Hassan Haskins,RB,NE,8123,26.8,4,,DEV,131.0,2022,0.0,1.9090909090909092,0.36363636363636365,1.5454545454545454,0.10909090909090909,0.9090909090909091,0.127273,0.000818,prior,prior season only,0.5666666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,JAX,45.5,0,22.0,0.962,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 2) · vs JAX (DvP 22, -4%) · Low confidence",0.283,5.333,0.0,,,2.5,0.0,0
00-0031595,Michael Burton,RB,CLE,2471,34.6,11,,ACT,168.0,2015,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CAR,42.5,1,1.0,1.12,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs CAR (DvP 1, +12%) · Low confidence",,,,,,,,0
00-0036727,Adam Prentice,RB,DEN,8025,29.7,5,,DEV,,2021,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LA,44.5,1,23.0,0.955,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs LA (DvP 23, -5%) · Low confidence",,,,,,,,0
00-0036906,Khalil Herbert,RB,ATL,7608,28.4,5,,DEV,217.0,2021,0.0,4.0,0.8,3.2,0.19,1.3199999999999998,3.1,0.155,prior,prior season only,2.1999999999999997,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,GB,42.5,0,11.0,1.045,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · vs GB (DvP 11, +4%) · Low confidence",0.317,6.667,1.0,14.0,0.67,3.6,0.5,0
00-0036924,Michael Carter,RB,TEN,7607,27.4,5,,DEV,107.0,2021,0.0,10.538461538461538,3.4615384615384617,7.076923076923077,0.4523076923076923,7.615384615384615,0.148352,0.026154,prior,prior season only,6.566666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NYG,38.5,0,7.0,1.075,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 11) · vs NYG (DvP 7, +7%) · Low confidence",0.62,15.333,10.0,12.4,0.534,13.0,6.9,0
00-0036755,Jaret Patterson,RB,MIN,7537,26.8,5,,DEV,,2021,0.0,7.5,0.6666666666666666,6.833333333333333,0.28,4.283333333333333,-0.257143,0.074857,prior,prior season only,6.066666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,TB,42.5,0,17.0,1.0,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 8) · vs TB (DvP 17, +0%) · Low confidence",0.38,8.0,1.0,12.0,0.79,9.1,3.7,0
00-0037258,Dameon Pierce,RB,PHI,8129,26.6,4,,DEV,107.0,2022,0.0,3.0,0.2,2.8,0.08399999999999999,0.72,-0.7,-0.029,prior,prior season only,0.3333333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CHI,41.5,0,10.0,1.052,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 3) · vs CHI (DvP 10, +5%) · Low confidence",0.113,3.667,0.0,,,1.7,0.5,0
00-0037509,Sincere McCormick,RB,SF,8220,26.0,4,,DEV,,2022,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,ARI,47.5,1,28.0,0.918,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs ARI (DvP 28, -8%) · Low confidence",,,,,,,,0
00-0037267,Jerome Ford,RB,MIN,8143,27.0,4,,DEV,156.0,2022,0.0,4.3076923076923075,2.4615384615384617,1.8461538461538463,0.3046153846153846,3.353846153846154,-0.565934,-0.025275,prior,prior season only,2.466666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,TB,42.5,0,17.0,1.0,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · vs TB (DvP 17, +0%) · Low confidence",0.46,7.667,3.0,9.0,0.473,7.6,3.0,0
