gsis_id,name,position,team,sleeper_id,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts,trending_add
00-0039150,Bryce Young,QB,CAR,9228,25.2,3,,ACT,1.0,2023,2.0,1.96875,0.0,1.96875,0.931875,24.226875,-1.0,0.04,current,75% current / 25% prior,24.02,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.28,197.08,1.41,0.64,4.56,22.59,0.23,,,,,16.37,16.37,16.37,4.56,0.17,,15.88,0.5,3.3,0.0,3.3,CLE,42.5,0,12.0,1.038,20.7,50% projection,1.0,1.0,0.43,Med,,"3.3 exp opps (proj 5, recent 2) · QB1 · vs CLE (DvP 12, +4%) · Med confidence",1.0,6.667,18.0,3.2,0.962,26.3,13.7,1
00-0039163,C.J. Stroud,QB,HOU,9758,25.0,3,,ACT,2.0,2023,2.0,2.732142857142857,0.0,2.732142857142857,0.9780357142857143,16.278928571428573,1.0,-0.0,current,75% current / 25% prior,16.913333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.79,241.02,1.16,0.46,3.04,11.55,0.15,,,,,15.65,15.65,15.65,3.04,0.108,,15.42,0.5,2.9,0.0,2.9,IND,42.5,0,4.0,1.098,17.8,50% projection,1.0,1.0,0.9,High,,"2.9 exp opps (proj 3, recent 3) · QB1 · vs IND (DvP 4, +10%) · High confidence",1.0,4.667,15.0,3.4,0.963,22.6,14.4,1
00-0038128,Malik Willis,QB,MIA,8161,27.3,4,,ACT,86.0,2022,2.0,4.375,0.0,4.375,0.855625,14.14125,-4.0,-0.0,current,75% current / 25% prior,20.233333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,28.21,212.04,0.95,0.41,5.32,24.5,0.3,,,,,15.99,15.99,15.99,5.32,0.209,,15.71,0.5,4.8,0.0,4.8,KC,46.5,1,30.0,0.902,16.2,50% projection,1.0,1.0,0.82,High,,"4.8 exp opps (proj 5, recent 4) · QB1 · vs KC (DvP 30, -10%) · High confidence",0.943,8.333,4.0,6.8,0.867,24.1,12.9,0
00-0035704,Drew Lock,QB,SEA,5854,29.9,7,,ACT,42.0,2019,2.0,1.25,0.0,1.25,0.7583333333333333,12.825833333333332,-2.0,0.1,current,75% current / 25% prior,11.393333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,30.36,222.3,1.55,0.66,3.46,16.64,0.14,,,,,16.66,16.66,16.66,3.46,0.12,,16.28,0.5,2.4,0.0,2.4,WAS,40.5,0,2.0,1.112,15.4,50% projection,2.0,2.0,0.29,Low,,"2.4 exp opps (proj 3, recent 1) · QB2 · vs WAS (DvP 2, +11%) · Low confidence",0.677,2.333,2.0,1.0,0.95,18.0,0.5,1
00-0033537,Deshaun Watson,QB,CLE,4017,31.0,9,,ACT,12.0,2017,2.0,6.5,0.0,6.5,1.0,16.86,1.0,-0.0,current,75% current / 25% prior,16.86,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,27.91,204.8,1.04,1.1,3.14,14.57,0.14,,,,,13.34,13.34,13.34,3.14,0.116,,12.45,0.5,4.8,0.0,4.8,CAR,42.5,1,15.0,1.015,14.9,50% projection,1.0,1.0,0.48,Med,,"4.8 exp opps (proj 3, recent 6) · QB1 · vs CAR (DvP 15, +1%) · Med confidence",1.0,6.5,2.0,6.5,1.0,19.1,16.9,1
00-0036264,Jordan Love,QB,GB,6804,27.9,6,,ACT,26.0,2020,2.0,1.1583333333333332,0.0,1.1583333333333332,0.9856666666666667,16.399,-1.0,-0.0,current,75% current / 25% prior,12.353333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,32.32,232.01,1.64,1.14,3.3,15.0,0.09,,,,,16.5,16.5,16.5,3.3,0.122,,15.6,0.5,2.2,0.0,2.2,ATL,42.5,1,11.0,1.045,14.6,50% projection,1.0,1.0,0.35,Low,,"2.2 exp opps (proj 3, recent 1) · QB1 · vs ATL (DvP 11, +4%) · Low confidence",1.0,4.667,16.0,2.9,0.986,26.0,15.0,0
00-0030565,Geno Smith,QB,NYJ,1373,36.0,13,,ACT,39.0,2013,2.0,4.808333333333334,0.0,4.808333333333334,0.9911666666666666,12.228333333333335,-1.0,-0.0,current,75% current / 25% prior,10.673333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.93,224.12,1.35,0.62,3.18,13.56,0.1,,,,,15.51,15.51,15.51,3.18,0.13,,15.08,0.5,4.0,0.0,4.0,DET,47.5,0,1.0,1.12,14.4,50% projection,1.0,1.0,0.66,Med,,"4.0 exp opps (proj 3, recent 5) · QB1 · vs DET (DvP 1, +12%) · Med confidence",1.0,4.0,17.0,3.1,0.969,20.9,9.8,0
00-0040676,Cam Ward,QB,TEN,12522,24.3,1,,ACT,1.0,2025,2.0,3.5735294117647056,0.0,3.5735294117647056,0.9866176470588235,14.64,-0.0,-0.0,current,75% current / 25% prior,13.633333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.9,200.25,0.85,0.42,3.0,13.08,0.18,,,,,13.23,13.23,13.23,3.0,0.123,,12.96,0.5,3.3,0.0,3.3,NYG,38.5,0,8.0,1.068,14.2,50% projection,1.0,1.0,0.84,High,,"3.3 exp opps (proj 3, recent 4) · QB1 · vs NYG (DvP 8, +7%) · High confidence",1.0,3.667,18.0,2.5,1.0,18.4,11.1,0
00-0029604,Kirk Cousins,QB,LV,1166,38.1,14,,ACT,102.0,2012,2.0,3.725,0.0,3.725,0.9652499999999999,15.345999999999998,-1.0,-0.0,current,75% current / 25% prior,14.406666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.55,212.37,1.55,0.56,1.81,3.56,0.06,,,,,14.73,14.73,14.73,1.81,0.075,,14.29,0.5,2.8,0.0,2.8,NO,43.5,0,20.0,0.978,14.0,50% projection,1.0,1.0,0.49,Med,,"2.8 exp opps (proj 2, recent 4) · QB1 · vs NO (DvP 20, -2%) · Med confidence",1.0,4.0,10.0,2.2,1.0,20.0,11.3,1
00-0034855,Baker Mayfield,QB,TB,4892,31.4,8,,ACT,1.0,2018,2.0,4.1838235294117645,0.0,4.1838235294117645,0.9927941176470588,12.931323529411767,-1.0,-0.0,current,75% current / 25% prior,12.346666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,32.2,225.77,1.49,0.74,3.61,16.13,0.13,,,,,16.48,16.48,16.48,3.61,0.129,,15.9,0.5,3.9,0.0,3.9,MIN,42.5,1,25.0,0.94,13.3,50% projection,1.0,1.0,0.86,High,,"3.9 exp opps (proj 4, recent 4) · QB1 · vs MIN (DvP 25, -6%) · High confidence",1.0,5.333,19.0,3.4,0.974,22.6,16.8,0
00-0039917,Michael Penix Jr.,QB,ATL,11559,26.4,2,,ACT,8.0,2024,0.0,2.3333333333333335,0.0,2.3333333333333335,0.9322222222222223,13.364444444444445,-0.366667,-0.017667,prior,prior season only,13.873333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,29.22,200.8,1.14,0.5,2.78,8.65,0.12,,,,,13.44,13.44,13.44,2.78,0.102,,13.18,1.0,2.8,0.0,2.8,GB,42.5,0,17.0,1.0,13.2,projection only,1.0,1.0,0.84,High,,"2.8 exp opps (proj 3, recent 2) · QB1 · vs GB (DvP 17, +0%) · High confidence",1.0,3.0,9.0,2.3,0.932,23.0,12.2,0
00-0031503,Jameis Winston,QB,NYG,2306,32.7,11,,ACT,1.0,2015,1.0,2.1666666666666665,0.08333333333333333,2.0833333333333335,0.8291666666666667,5.511666666666667,0.0,0.0,current,75% current / 25% prior,11.593333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,29.13,218.82,1.16,0.51,3.37,11.68,0.13,,,,,14.61,14.61,14.61,3.37,0.111,,14.32,0.75,3.1,0.0,3.0,TEN,38.5,1,23.0,0.955,13.0,75% projection,1.0,1.0,0.64,Med,,"3.1 exp opps (proj 3, recent 2) · QB1 · vs TEN (DvP 23, -5%) · Med confidence",0.677,2.667,3.0,3.3,0.96,25.9,6.8,0
00-0033119,Jacoby Brissett,QB,ARI,3257,33.8,10,,ACT,91.0,2016,2.0,3.303571428571429,0.0,3.303571428571429,0.9642857142857143,12.678928571428571,-5.0,-0.0,current,75% current / 25% prior,12.866666666666665,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,34.6,228.09,1.34,0.29,2.95,11.01,0.09,,,,,15.61,15.61,15.61,2.95,0.126,,15.54,0.5,3.1,0.0,3.1,SF,47.5,0,28.0,0.918,13.0,50% projection,1.0,1.0,0.89,High,,"3.1 exp opps (proj 3, recent 3) · QB1 · vs SF (DvP 28, -8%) · High confidence",1.0,5.0,14.0,3.1,0.996,21.3,18.9,0
00-0023459,Aaron Rodgers,QB,PIT,96,42.8,21,,ACT,24.0,2005,2.0,1.84375,0.015625,1.828125,0.97421875,9.743125000000001,-2.0,-0.04,current,75% current / 25% prior,11.426666666666668,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,32.18,213.28,1.36,0.86,1.26,5.98,0.05,,,,,13.81,13.81,13.81,1.26,0.048,,13.15,0.5,1.6,0.0,1.5,CIN,42.5,1,19.0,0.985,12.1,50% projection,1.0,1.0,0.68,Med,,"1.6 exp opps (proj 1, recent 2) · QB1 · vs CIN (DvP 19, -2%) · Med confidence",1.0,2.667,18.0,1.4,0.959,21.8,12.7,0
00-0035710,Daniel Jones,QB,IND,5870,29.3,7,,ACT,6.0,2019,2.0,2.3653846153846154,0.0,2.3653846153846154,0.9786538461538461,12.019615384615385,2.0,-0.0,current,75% current / 25% prior,7.080000000000001,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,29.68,208.37,0.98,0.77,3.72,14.64,0.13,,,,,13.57,13.57,13.57,3.72,0.131,,12.96,0.5,3.0,0.0,3.0,HOU,42.5,1,5.0,1.09,10.9,50% projection,1.0,1.0,0.64,Med,,"3.0 exp opps (proj 4, recent 2) · QB1 · vs HOU (DvP 5, +9%) · Med confidence",1.0,5.667,14.0,3.4,0.976,23.0,16.1,0
00-0032268,Marcus Mariota,QB,WAS,2307,32.9,11,,ACT,2.0,2015,1.0,2.0,0.0,2.0,0.5395000000000001,9.692499999999999,0.0,0.0,current,75% current / 25% prior,9.06,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,28.01,190.27,0.75,0.97,6.35,28.04,0.15,,,,,13.14,13.14,13.14,6.35,0.222,,12.37,0.75,5.3,0.0,5.3,SEA,40.5,1,32.0,0.888,10.2,75% projection,2.0,2.0,0.25,Low,,"5.3 exp opps (proj 6, recent 2) · QB2 · vs SEA (DvP 32, -11%) · Low confidence",0.977,7.333,9.0,5.2,0.886,20.3,14.7,1
00-0038416,Tyson Bagent,QB,CHI,11256,26.3,3,Questionable,ACT,,2023,1.0,0.25,0.0,0.25,0.12625,1.9425000000000001,0.0,0.0,current,75% current / 25% prior,1.58,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.72,195.45,0.82,0.74,5.05,15.73,0.14,,,,,12.6,12.6,12.6,5.05,0.174,,12.03,0.75,3.8,0.0,3.8,PHI,41.5,1,10.0,1.052,9.9,75% projection,2.0,2.0,0.03,Low,QUESTIONABLE,"3.8 exp opps (proj 5, recent 0) · QB2 · vs PHI (DvP 10, +5%) · Low confidence · QUESTIONABLE",0.103,0.667,0.0,,,2.1,1.8,1
00-0032950,Carson Wentz,QB,MIN,3161,33.7,10,,ACT,2.0,2016,2.0,3.55,0.0,3.55,0.91925,13.0945,-2.0,0.17,current,75% current / 25% prior,11.1,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,1.8,0.0,1.8,TB,42.5,0,13.0,1.03,5.7,50% projection,2.0,2.0,0.0,Low,,"1.8 exp opps (proj 0, recent 4) · QB2 · vs TB (DvP 13, +3%) · Low confidence",0.993,3.0,7.0,2.7,0.927,20.0,14.7,0
00-0034869,Sam Darnold,QB,SEA,4943,29.3,8,Questionable,ACT,3.0,2018,1.0,0.5147058823529411,0.0,0.5147058823529411,0.3154411764705883,3.852058823529412,0.0,0.0,current,75% current / 25% prior,5.14,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.75,0.1,0.0,0.1,WAS,40.5,0,2.0,1.112,1.4,75% projection,1.0,1.0,0.34,Low,QUESTIONABLE,"0.1 exp opps (proj 0, recent 1) · QB1 · vs WAS (DvP 2, +11%) · Low confidence · QUESTIONABLE",1.0,4.0,17.0,2.1,0.962,23.7,13.6,0
00-0033662,Cooper Rush,QB,ATL,4574,32.8,9,,ACT,,2017,2.0,1.0,0.0,1.0,0.71875,2.0425,2.0,-0.42,current,75% current / 25% prior,1.3466666666666665,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,0.5,0.0,0.5,GB,42.5,0,17.0,1.0,0.7,50% projection,3.0,3.0,0.0,Low,,"0.5 exp opps (proj 0, recent 1) · QB3 · vs GB (DvP 17, +0%) · Low confidence",0.893,1.0,4.0,0.8,0.815,3.9,0.4,0
00-0034771,Mason Rudolph,QB,PIT,4972,31.2,8,,ACT,76.0,2018,1.0,1.1,0.0,1.1,0.11449999999999999,0.975,0.0,0.0,current,75% current / 25% prior,1.9466666666666665,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.75,0.3,0.0,0.3,CIN,42.5,1,19.0,0.985,0.5,75% projection,2.0,2.0,0.0,Low,,"0.3 exp opps (proj 0, recent 1) · QB2 · vs CIN (DvP 19, -2%) · Low confidence",0.53,2.333,2.0,2.0,0.715,8.3,0.4,0
00-0039107,Stetson Bennett,QB,LA,10857,28.9,3,,ACT,128.0,2023,1.0,1.0,0.0,1.0,0.16,1.42,0.0,0.0,current,75% current / 25% prior,1.42,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.75,0.2,0.0,0.2,DEN,44.5,0,24.0,0.948,0.3,75% projection,2.0,2.0,0.0,Low,,"0.2 exp opps (proj 0, recent 1) · QB2 · vs DEN (DvP 24, -5%) · Low confidence",0.16,1.0,0.0,,,1.4,1.4,0
00-0038102,Kenny Pickett,QB,CAR,8160,28.3,4,,ACT,20.0,2022,2.0,0.9583333333333334,0.0,0.9583333333333334,0.13125,1.0716666666666668,-0.0,-0.04,current,75% current / 25% prior,0.34,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,0.5,0.0,0.5,CLE,42.5,0,12.0,1.038,0.2,50% projection,2.0,2.0,0.03,Low,,"0.5 exp opps (proj 0, recent 1) · QB2 · vs CLE (DvP 12, +4%) · Low confidence",0.453,1.0,1.0,2.0,1.0,4.2,0.3,0
00-0041561,Carson Beck,QB,ARI,13272,24.8,0,,ACT,65.0,2026,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,SF,47.5,0,28.0,0.918,0.0,projection only,3.0,3.0,0.36,Low,,"0.0 exp opps (proj 0) · QB3 · vs SF (DvP 28, -8%) · Low confidence",,,,,,,,0
00-0041562,Fernando Mendoza,QB,LV,13269,23.0,0,,ACT,1.0,2026,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NO,43.5,0,20.0,0.978,0.0,projection only,2.0,2.0,0.48,Med,,"0.0 exp opps (proj 0) · QB2 · vs NO (DvP 20, -2%) · Med confidence",,,,,,,,0
00-0041565,Drew Allar,QB,PIT,13289,22.5,0,,ACT,76.0,2026,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CIN,42.5,1,19.0,0.985,0.0,projection only,4.0,4.0,0.36,Low,,"0.0 exp opps (proj 0) · QB4 · vs CIN (DvP 19, -2%) · Low confidence",,,,,,,,0
00-0041568,Ty Simpson,QB,LA,13275,23.8,0,,ACT,13.0,2026,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,DEN,44.5,0,24.0,0.948,0.0,projection only,3.0,3.0,0.36,Low,,"0.0 exp opps (proj 0) · QB3 · vs DEN (DvP 24, -5%) · Low confidence",,,,,,,,0
00-0027973,Andy Dalton,QB,PHI,829,38.9,15,,ACT,35.0,2011,0.0,1.25,0.0,1.25,0.38,2.3800000000000003,0.5,0.306,prior,prior season only,3.206666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CHI,41.5,0,9.0,1.06,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 1) · QB2 · vs CHI (DvP 9, +6%) · Low confidence",0.5,1.333,1.0,2.0,1.0,5.1,1.7,0
00-0028118,Tyrod Taylor,QB,GB,827,37.1,15,,ACT,180.0,2011,0.0,4.5,0.0,4.5,0.6699999999999999,9.91,-0.371429,-0.026857,prior,prior season only,10.766666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,ATL,42.5,1,11.0,1.045,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · QB2 · vs ATL (DvP 11, +4%) · Low confidence",0.847,5.333,4.0,6.0,0.885,19.0,10.6,0
00-0028986,Case Keenum,QB,CHI,1737,38.6,14,,ACT,,2012,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,PHI,41.5,1,10.0,1.052,0.0,projection only,3.0,3.0,0.36,Low,,"0.0 exp opps (proj 0) · QB3 · vs PHI (DvP 10, +5%) · Low confidence",,,,,,,,0
00-0036679,Shane Buechele,QB,BUF,8002,28.7,5,,DEV,,2021,0.0,1.0,0.0,1.0,0.45,3.92,0.0,0.0,prior,prior season only,3.92,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LAC,50.5,1,16.0,1.008,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 1) · vs LAC (DvP 16, +1%) · Low confidence",0.45,1.0,1.0,1.0,0.45,3.9,3.9,0
00-0036972,Mac Jones,QB,SF,7527,28.1,5,,ACT,15.0,2021,1.0,2.3181818181818183,0.0,2.3181818181818183,0.2984090909090909,2.805454545454545,0.0,0.0,current,75% current / 25% prior,-0.09999999999999999,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.75,0.6,0.0,0.6,ARI,47.5,1,14.0,1.022,-0.0,75% projection,2.0,2.0,0.0,Low,,"0.6 exp opps (proj 0, recent 2) · QB2 · vs ARI (DvP 14, +2%) · Low confidence",1.0,4.667,8.0,3.5,0.998,22.1,12.2,0
00-0036945,Justin Fields,QB,KC,7591,27.6,5,,ACT,11.0,2021,0.0,8.0,0.1111111111111111,7.888888888888889,0.8977777777777778,15.851111111111111,0.183333,0.01,prior,prior season only,15.719999999999999,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,MIA,46.5,0,7.0,1.075,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 8) · QB2 · vs MIA (DvP 7, +7%) · Low confidence",1.0,10.0,9.0,8.0,0.898,27.6,19.3,0
00-0036879,Sam Ehlinger,QB,DEN,7583,28.0,5,,ACT,218.0,2021,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LA,44.5,1,27.0,0.925,0.0,projection only,3.0,3.0,0.36,Low,,"0.0 exp opps (proj 0) · QB3 · vs LA (DvP 27, -7%) · Low confidence",,,,,,,,0
00-0036898,Davis Mills,QB,HOU,7585,27.9,5,,ACT,67.0,2021,0.0,2.1666666666666665,0.0,2.1666666666666665,0.705,11.433333333333332,-0.314286,0.048857,prior,prior season only,11.173333333333332,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,IND,42.5,0,4.0,1.098,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 2) · QB2 · vs IND (DvP 4, +10%) · Low confidence",1.0,2.667,4.0,2.2,0.92,22.0,10.3,0
00-0037012,Trey Lance,QB,LAC,7610,26.4,5,,ACT,3.0,2021,0.0,4.25,0.0,4.25,0.3775,3.385,2.5,0.261,prior,prior season only,3.56,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,BUF,50.5,0,6.0,1.082,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · QB2 · vs BUF (DvP 6, +8%) · Low confidence",0.473,5.333,1.0,9.0,1.0,6.7,2.2,0
00-0037013,Zach Wilson,QB,NO,7538,27.1,5,,ACT,2.0,2021,0.0,0.75,0.0,0.75,0.1125,0.34500000000000003,-0.1,-0.041,prior,prior season only,-0.06666666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LV,43.5,1,26.0,0.932,0.0,projection only,3.0,3.0,0.15,Low,,"0.0 exp opps (proj 0, recent 1) · QB3 · vs LV (DvP 26, -7%) · Low confidence",0.133,1.0,0.0,,,1.1,0.0,0
00-0037077,Sam Howell,QB,DAL,8162,26.0,4,,ACT,144.0,2022,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,BAL,52.5,1,18.0,0.992,0.0,projection only,2.0,2.0,0.48,Med,,"0.0 exp opps (proj 0) · QB2 · vs BAL (DvP 18, -1%) · Med confidence",,,,,,,,0
00-0038550,Hendon Hooker,QB,TEN,9998,28.7,3,,DEV,68.0,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NYG,38.5,0,8.0,1.068,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs NYG (DvP 8, +7%) · Low confidence",,,,,,,,0
00-0038476,Tommy DeVito,QB,NE,11292,28.1,3,,ACT,,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,JAX,45.5,0,22.0,0.962,0.0,projection only,2.0,2.0,0.48,Med,,"0.0 exp opps (proj 0) · QB2 · vs JAX (DvP 22, -4%) · Med confidence",,,,,,,,0
00-0038400,Tanner McKee,QB,PHI,9230,26.4,3,,ACT,188.0,2023,0.0,2.0,0.0,2.0,0.345,3.44,-0.2,0.26,prior,prior season only,4.653333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CHI,41.5,0,9.0,1.06,0.0,projection only,3.0,3.0,0.0,Low,,"0.0 exp opps (proj 0, recent 2) · QB3 · vs CHI (DvP 9, +6%) · Low confidence",0.437,2.0,1.0,2.0,1.0,9.0,1.0,0
00-0038391,Sean Clifford,QB,CIN,10983,28.2,3,,DEV,149.0,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,PIT,42.5,0,31.0,0.895,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs PIT (DvP 31, -10%) · Low confidence",,,,,,,,0
00-0038579,Aidan O'Connell,QB,LV,10866,28.1,3,Questionable,ACT,135.0,2023,0.0,1.0,0.0,1.0,0.82,4.78,0.0,0.0,prior,prior season only,4.78,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NO,43.5,0,20.0,0.978,0.0,projection only,3.0,3.0,0.0,Low,QUESTIONABLE,"0.0 exp opps (proj 0, recent 1) · QB3 · vs NO (DvP 20, -2%) · Low confidence · QUESTIONABLE",0.82,1.0,1.0,1.0,0.82,4.8,4.8,0
00-0038998,Jake Haener,QB,NYG,10215,27.5,3,,DEV,127.0,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,TEN,38.5,1,23.0,0.955,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs TEN (DvP 23, -5%) · Low confidence",,,,,,,,0
00-0039164,Anthony Richardson,QB,IND,9229,24.3,3,,ACT,4.0,2023,0.0,2.5,0.5,2.0,0.11499999999999999,1.0799999999999998,-3.0,-0.01,prior,prior season only,1.0799999999999998,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,HOU,42.5,1,5.0,1.09,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 2) · QB2 · vs HOU (DvP 5, +9%) · Low confidence",0.115,2.5,0.0,,,2.0,1.1,0
00-0039152,Will Levis,QB,NYJ,9999,27.2,3,,DEV,33.0,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,DET,47.5,0,1.0,1.12,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs DET (DvP 1, +12%) · Low confidence",,,,,,,,0
00-0036212,Tua Tagovailoa,QB,ATL,6768,28.6,6,,ACT,5.0,2020,0.0,1.4285714285714286,0.0,1.4285714285714286,0.9542857142857143,11.478571428571428,0.021978,0.003209,prior,prior season only,9.993333333333332,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,GB,42.5,0,17.0,1.0,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 1) · QB2 · vs GB (DvP 17, +0%) · Low confidence",1.0,2.0,14.0,1.4,0.954,21.5,9.9,0
