season,week,gsis_id,source,pulled_at,team,position,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share
2026,1,00-0040024,sleeper,2026-09-12T17:31:48Z,PHI,WR,,,,,,,,0.28,0.21,2.33,0.02,0.56,0.45,0.34,0.28,,0.01
2026,1,00-0040039,sleeper,2026-09-12T17:31:48Z,LAC,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040049,sleeper,2026-09-12T17:31:48Z,HOU,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040058,sleeper,2026-09-12T17:31:48Z,SEA,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040060,sleeper,2026-09-12T17:31:48Z,MIN,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040067,sleeper,2026-09-12T17:31:48Z,SEA,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040075,sleeper,2026-09-12T17:31:48Z,BAL,WR,,,,,0.05,0.2,0.0,0.11,0.07,0.96,0.01,0.23,0.19,0.16,0.16,0.002,0.004
2026,1,00-0040078,sleeper,2026-09-12T17:31:48Z,KC,RB,,,,,0.81,2.51,0.01,0.33,0.24,1.46,0.0,0.71,0.59,0.47,1.14,0.032,0.01
2026,1,00-0040081,sleeper,2026-09-12T17:31:48Z,KC,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040094,sleeper,2026-09-12T17:31:48Z,MIA,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040099,sleeper,2026-09-12T17:31:48Z,BAL,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040120,sleeper,2026-09-12T17:31:48Z,KC,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040122,sleeper,2026-09-12T17:31:48Z,LV,RB,,,,,17.75,72.63,0.53,3.84,3.18,17.7,0.19,16.43,14.84,13.25,21.59,0.67,0.141
2026,1,00-0040124,sleeper,2026-09-12T17:31:48Z,CAR,WR,,,,,0.08,0.4,0.0,7.88,4.66,73.12,0.48,14.9,12.57,10.24,7.96,0.003,0.264
2026,1,00-0040126,sleeper,2026-09-12T17:31:48Z,CHI,TE,,,,,0.05,0.2,0.0,7.08,5.1,61.0,0.42,13.78,11.23,8.67,7.13,0.002,0.213
2026,1,00-0040128,sleeper,2026-09-12T17:31:48Z,IND,TE,,,,,0.27,1.0,0.01,7.72,5.44,60.13,0.36,13.76,11.04,8.32,7.99,0.011,0.238
2026,1,00-0040129,sleeper,2026-09-12T17:31:48Z,TB,WR,,,,,0.24,1.25,0.01,7.12,3.68,59.23,0.51,12.86,11.02,9.18,7.36,0.009,0.237
2026,1,00-0040130,sleeper,2026-09-12T17:31:48Z,HOU,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040131,sleeper,2026-09-12T17:31:48Z,NE,WR,,,,,0.16,0.63,0.01,0.16,0.08,1.02,0.01,0.33,0.29,0.25,0.32,0.006,0.005
2026,1,00-0040134,sleeper,2026-09-12T17:31:48Z,DEN,WR,,,,,0.09,0.37,0.0,4.5,2.75,33.82,0.15,7.09,5.71,4.34,4.59,0.003,0.134
2026,1,00-0040138,sleeper,2026-09-12T17:31:48Z,HOU,WR,,,,,0.08,0.35,0.0,2.62,1.74,21.21,0.14,4.78,3.91,3.04,2.7,0.003,0.083
2026,1,00-0040142,sleeper,2026-09-12T17:31:48Z,GB,RB,,,,,4.66,14.8,0.11,0.65,0.47,3.04,0.03,3.05,2.81,2.58,5.3100000000000005,0.189,0.021
2026,1,00-0040154,sleeper,2026-09-12T17:31:48Z,MIN,WR,,,,,0.04,0.16,0.0,1.03,0.84,7.08,0.05,1.89,1.47,1.05,1.07,0.002,0.033
2026,1,00-0040162,sleeper,2026-09-12T17:31:48Z,CLE,RB,,,,,5.58,18.02,0.07,2.35,1.98,13.28,0.07,5.96,4.97,3.98,7.93,0.228,0.082
2026,1,00-0040164,sleeper,2026-09-12T17:31:48Z,WAS,WR,,,,,0.2,0.87,0.01,1.25,0.56,8.39,0.07,1.92,1.64,1.36,1.45,0.008,0.04
2026,1,00-0040170,sleeper,2026-09-12T17:31:48Z,TEN,WR,,,,,,,,1.8,0.87,13.38,0.11,2.85,2.42,1.99,1.8,,0.054
2026,1,00-0040172,sleeper,2026-09-12T17:31:48Z,SF,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040177,sleeper,2026-09-12T17:31:48Z,SF,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040179,sleeper,2026-09-12T17:31:48Z,IND,RB,,,,,1.34,4.93,0.02,0.53,0.42,2.86,0.02,1.42,1.2,0.99,1.87,0.055,0.016
2026,1,00-0040184,sleeper,2026-09-12T17:31:48Z,LAC,WR,,,,,0.05,0.27,0.0,0.65,0.33,3.82,0.03,0.92,0.76,0.59,0.7000000000000001,0.002,0.021
2026,1,00-0040187,sleeper,2026-09-12T17:31:48Z,CAR,TE,,,,,,,,0.56,0.44,4.55,0.03,1.1,0.88,0.66,0.56,,0.019
2026,1,00-0040189,sleeper,2026-09-12T17:31:48Z,LAC,TE,,,,,,,,2.4,1.74,23.6,0.12,4.8,3.93,3.07,2.4,,0.078
