season,week,team,opponent,home,gameday,spread_line,total_line,roof
2026,17,ARI,LV,1,2027-01-03,,,
2026,17,ATL,NO,1,2027-01-03,,,
2026,17,BAL,CIN,0,2026-12-31,,,outdoors
2026,17,BUF,MIA,0,2027-01-03,,,outdoors
2026,17,CAR,SEA,1,2027-01-03,,,outdoors
2026,17,CHI,DET,1,2027-01-03,,,outdoors
2026,17,CIN,BAL,1,2026-12-31,,,outdoors
2026,17,CLE,IND,1,2027-01-03,,,outdoors
2026,17,DAL,NYG,1,2027-01-03,,,
2026,17,DEN,NE,0,2027-01-03,,,outdoors
2026,17,DET,CHI,0,2027-01-03,,,outdoors
2026,17,GB,HOU,1,2027-01-04,,,outdoors
2026,17,HOU,GB,0,2027-01-04,,,outdoors
2026,17,IND,CLE,0,2027-01-03,,,outdoors
2026,17,JAX,WAS,1,2027-01-03,,,outdoors
2026,17,KC,LAC,0,2027-01-03,,,dome
2026,17,LA,TB,0,2027-01-03,,,outdoors
2026,17,LAC,KC,1,2027-01-03,,,dome
2026,17,LV,ARI,0,2027-01-03,,,
2026,17,MIA,BUF,1,2027-01-03,,,outdoors
2026,17,MIN,NYJ,0,2027-01-03,,,outdoors
2026,17,NE,DEN,1,2027-01-03,,,outdoors
2026,17,NO,ATL,0,2027-01-03,,,
2026,17,NYG,DAL,0,2027-01-03,,,
2026,17,NYJ,MIN,1,2027-01-03,,,outdoors
2026,17,PHI,SF,0,2027-01-03,,,outdoors
2026,17,PIT,TEN,0,2027-01-03,,,outdoors
2026,17,SEA,CAR,0,2027-01-03,,,outdoors
2026,17,SF,PHI,1,2027-01-03,,,outdoors
2026,17,TB,LA,1,2027-01-03,,,outdoors
2026,17,TEN,PIT,1,2027-01-03,,,outdoors
2026,17,WAS,JAX,0,2027-01-03,,,outdoors
2026,18,ARI,SF,1,2027-01-10,,,
2026,18,ATL,CAR,0,2027-01-10,,,outdoors
2026,18,BAL,PIT,1,2027-01-10,,,outdoors
2026,18,BUF,NYJ,1,2027-01-10,,,outdoors
2026,18,CAR,ATL,1,2027-01-10,,,outdoors
2026,18,CHI,MIN,0,2027-01-10,,,dome
2026,18,CIN,CLE,1,2027-01-10,,,outdoors
2026,18,CLE,CIN,0,2027-01-10,,,outdoors
2026,18,DAL,WAS,0,2027-01-10,,,outdoors
2026,18,DEN,LAC,1,2027-01-10,,,outdoors
2026,18,DET,GB,0,2027-01-10,,,outdoors
2026,18,GB,DET,1,2027-01-10,,,outdoors
2026,18,HOU,TEN,1,2027-01-10,,,
2026,18,IND,JAX,1,2027-01-10,,,
2026,18,JAX,IND,0,2027-01-10,,,
2026,18,KC,LV,1,2027-01-10,,,outdoors
2026,18,LA,SEA,1,2027-01-10,,,dome
2026,18,LAC,DEN,0,2027-01-10,,,outdoors
2026,18,LV,KC,0,2027-01-10,,,outdoors
2026,18,MIA,NE,0,2027-01-10,,,outdoors
2026,18,MIN,CHI,1,2027-01-10,,,dome
2026,18,NE,MIA,1,2027-01-10,,,outdoors
2026,18,NO,TB,1,2027-01-10,,,dome
2026,18,NYG,PHI,1,2027-01-10,,,outdoors
2026,18,NYJ,BUF,0,2027-01-10,,,outdoors
2026,18,PHI,NYG,0,2027-01-10,,,outdoors
2026,18,PIT,BAL,0,2027-01-10,,,outdoors
2026,18,SEA,LA,0,2027-01-10,,,dome
2026,18,SF,ARI,0,2027-01-10,,,
2026,18,TB,NO,0,2027-01-10,,,dome
2026,18,TEN,HOU,0,2027-01-10,,,
2026,18,WAS,DAL,1,2027-01-10,,,outdoors
