season,week,league_id,league_name,roster_id,owner_id,owner_name,sleeper_id,gsis_id,name,position,team,is_starter,is_taxi,is_ir
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,5927,00-0035659,Terry McLaurin,WR,WAS,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,6650,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,6790,00-0036275,D'Andre Swift,RB,CHI,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,7523,00-0036971,Trevor Lawrence,QB,JAX,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,7553,00-0036970,Kyle Pitts,TE,ATL,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,7571,00-0036550,Rashod Bateman,WR,BAL,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,8151,00-0038134,Kenneth Walker III,RB,KC,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,8183,00-0037834,Brock Purdy,QB,SF,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,8266,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,8392,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,9480,00-0038935,Brenton Strange,TE,JAX,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,9487,00-0038606,Parker Washington,WR,JAX,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,9488,00-0038543,Jaxon Smith-Njigba,WR,SEA,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,10222,00-0039146,Jayden Reed,WR,GB,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,10236,00-0038933,Dalton Kincaid,TE,BUF,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11563,00-0039732,Bo Nix,QB,DEN,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11620,00-0039919,Rome Odunze,WR,CHI,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11624,00-0039894,Xavier Worthy,WR,KC,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11637,00-0039901,Keon Coleman,WR,BUF,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11638,00-0039916,Ricky Pearsall,WR,SF,0,0,1
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12490,00-0040719,Bhayshul Tuten,RB,JAX,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12497,00-0040648,Tory Horton,WR,SEA,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12506,00-0040663,Harold Fannin Jr.,TE,CLE,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12512,00-0040784,Quinshon Judkins,RB,CLE,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12529,00-0040734,TreVeyon Henderson,RB,NE,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,12536,00-0040138,Jaylin Noel,WR,HOU,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,13272,00-0041561,Carson Beck,QB,ARI,0,1,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,13279,00-0041438,Carnell Tate,WR,TEN,1,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,13294,00-0040867,Makai Lemon,WR,PHI,0,0,0
