gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0038640,Jalen Brooks,ARI,WR,4,4.0,0.0,healthy,0.97,,,611.7,3,0,0.014,Michael Wilson (healthy); Marvin Harrison Jr. (healthy); Kendrick Bourne (healthy)
00-0036646,Simi Fehoko,ARI,WR,5,7.0,2.0,healthy,0.97,,,632.0,4,0,0.014,Michael Wilson (healthy); Marvin Harrison Jr. (healthy); Kendrick Bourne (healthy); Jalen Brooks (healthy)
00-0036331,Devin Duvernay,ARI,WR,6,6.0,0.0,healthy,0.97,,,2223.0,5,0,0.014,Michael Wilson (healthy); Marvin Harrison Jr. (healthy); Kendrick Bourne (healthy); Jalen Brooks (healthy); Simi Fehoko (healthy)
00-0041070,Reggie Virgil,ARI,WR,7,5.0,2.0,healthy,0.97,,,92.1,6,0,0.014,Michael Wilson (healthy); Marvin Harrison Jr. (healthy); Kendrick Bourne (healthy); Jalen Brooks (healthy); Simi Fehoko (healthy); Devin Duvernay (healthy)
00-0039917,Michael Penix Jr.,ATL,QB,1,1.0,0.0,healthy,0.97,,,14.5,0,0,0.0,nobody
00-0036212,Tua Tagovailoa,ATL,QB,2,3.0,1.0,healthy,0.97,,,22.7,1,0,0.0,Michael Penix Jr. (healthy)
00-0033662,Cooper Rush,ATL,QB,3,2.0,1.0,healthy,0.97,,,84.0,2,0,0.0,Michael Penix Jr. (healthy); Tua Tagovailoa (healthy)
00-0041194,Jack Strand,ATL,QB,4,4.0,0.0,healthy,0.97,,,83.5,3,0,0.0,Michael Penix Jr. (healthy); Tua Tagovailoa (healthy); Cooper Rush (healthy)
00-0038542,Bijan Robinson,ATL,RB,1,1.0,0.0,healthy,0.97,,,16.2,0,0,0.0,nobody
00-0037746,Brian Robinson Jr.,ATL,RB,2,2.0,0.0,healthy,0.97,,,13.6,1,0,0.02,Bijan Robinson (healthy)
00-0036984,Trey Sermon,ATL,RB,3,3.0,0.0,ir,0.02,Undisclosed,,855.7,2,0,0.026,Bijan Robinson (healthy); Brian Robinson Jr. (healthy)
00-0036970,Kyle Pitts Sr.,ATL,TE,1,1.0,0.0,healthy,0.97,,,15.2,0,0,0.0,nobody
00-0036429,Charlie Woerner,ATL,TE,2,3.0,1.0,healthy,0.97,,,2728.0,1,0,0.005,Kyle Pitts Sr. (healthy)
00-0032392,Austin Hooper,ATL,TE,3,2.0,1.0,healthy,0.97,,,60.5,2,0,0.006,Kyle Pitts Sr. (healthy); Charlie Woerner (healthy)
00-0037317,Nick Muse,ATL,TE,4,4.0,0.0,healthy,0.97,,,39.8,3,0,0.007,Kyle Pitts Sr. (healthy); Charlie Woerner (healthy); Austin Hooper (healthy)
00-0037238,Drake London,ATL,WR,1,1.0,0.0,healthy,0.97,,,15.6,0,0,0.0,nobody
00-0037741,Jahan Dotson,ATL,WR,2,2.0,0.0,healthy,0.97,,,13.1,1,0,0.009,Drake London (healthy)
00-0035208,Olamide Zaccheaus,ATL,WR,3,3.0,0.0,healthy,0.97,,,60.6,2,0,0.012,Drake London (healthy); Jahan Dotson (healthy)
00-0041044,Zachariah Branch,ATL,WR,4,4.0,0.0,healthy,0.97,,,12.7,3,0,0.014,Drake London (healthy); Jahan Dotson (healthy); Olamide Zaccheaus (healthy)
00-0036463,Chris Blair,ATL,WR,5,5.0,0.0,healthy,0.97,,,6271.6,4,0,0.016,Drake London (healthy); Jahan Dotson (healthy); Olamide Zaccheaus (healthy); Zachariah Branch (healthy)
00-0040432,Beaux Collins,ATL,WR,6,8.0,2.0,ir,0.02,Undisclosed,,587.2,5,0,0.016,Drake London (healthy); Jahan Dotson (healthy); Olamide Zaccheaus (healthy); Zachariah Branch (healthy); Chris Blair (healthy)
00-0034796,Lamar Jackson,BAL,QB,1,1.0,0.0,healthy,0.97,,,86.2,0,0,0.0,nobody
00-0035993,Tyler Huntley,BAL,QB,2,2.0,0.0,healthy,0.97,,,632.8,1,0,0.0,Lamar Jackson (healthy)
00-0040981,Joe Fagnano,BAL,QB,3,4.0,1.0,healthy,0.97,,,95.0,2,0,0.0,Lamar Jackson (healthy); Tyler Huntley (healthy)
00-0037327,Skylar Thompson,BAL,QB,4,3.0,1.0,ir,0.02,Undisclosed,,1027.9,3,0,0.0,Lamar Jackson (healthy); Tyler Huntley (healthy); Joe Fagnano (healthy)
00-0032764,Derrick Henry,BAL,RB,1,1.0,0.0,healthy,0.97,,,86.2,0,0,0.0,nobody
