gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0037834,Brock Purdy,QB,SF,MrMasculinity,1,0,0,8183,2026-09-26T00:37:18Z,26.7,4,,ACT,262.0,2022,2.0,3.9166666666666665,0.0,3.9166666666666665,0.9381944444444446,23.519722222222224,-2.0,-0.15,current,75% current / 25% prior,18.253333333333334,2026,3,sleeper,2026-09-26T00:37:18Z,29.92,248.95,2.21,0.66,4.37,20.54,0.25,,,,,21.61,21.61,21.61,4.37,0.147,,21.03,0.5,4.1,0.0,4.1,ARI,47.5,1,14.0,1.022,20.1,50% projection,1,1,0.9,High,,"4.1 exp opps (proj 4, recent 4) · QB1 · vs ARI (DvP 14, +2%) · High confidence",1.0,5.0,11,3.7,0.968,30.9,19.3
00-0036971,Trevor Lawrence,QB,JAX,MrMasculinity,0,0,0,7523,2026-09-26T00:37:18Z,27.0,5,,ACT,1.0,2021,2.0,2.7058823529411766,0.0,2.7058823529411766,0.946764705882353,17.07073529411765,-0.0,0.12,current,75% current / 25% prior,18.52,2026,3,sleeper,2026-09-26T00:37:18Z,32.97,238.12,1.62,0.49,4.77,19.08,0.31,,,,,19.17,19.17,19.17,4.77,0.172,,18.79,0.5,3.7,0.0,3.7,NE,46.5,1,29.0,0.91,17.0,50% projection,1,1,0.57,Med,,"3.7 exp opps (proj 5, recent 3) · QB1 · vs NE (DvP 29, -9%) · Med confidence",1.0,6.667,19,4.5,0.964,27.2,19.2
00-0033077,Dak Prescott,QB,DAL,MrMasculinity,0,0,0,3294,2026-09-26T00:37:18Z,33.2,10,,ACT,135.0,2016,2.0,3.0294117647058822,0.0,3.0294117647058822,0.9876470588235294,21.174411764705887,2.0,-0.0,current,75% current / 25% prior,14.953333333333333,2026,3,sleeper,2026-09-26T00:37:18Z,36.21,268.56,1.81,0.61,3.0,10.86,0.12,,,,,18.99,18.99,18.99,3.0,0.121,,18.57,0.5,3.0,0.0,3.0,BAL,53.5,1,17.0,1.0,16.8,50% projection,1,1,0.99,High,,"3.0 exp opps (proj 3, recent 3) · QB1 · vs BAL (DvP 17, +0%) · High confidence",1.0,5.0,19,3.1,0.956,28.6,20.6
00-0039732,Bo Nix,QB,DEN,MrMasculinity,0,0,0,11563,2026-09-26T00:37:18Z,26.6,2,,ACT,12.0,2024,2.0,4.235294117647059,0.014705882352941176,4.220588235294118,0.9991176470588236,11.817941176470587,2.0,-0.0,current,75% current / 25% prior,10.033333333333333,2026,3,sleeper,2026-09-26T00:37:18Z,33.4,226.36,1.4,0.87,4.57,20.48,0.19,,,,,16.78,16.78,16.78,4.57,0.17,,16.1,0.5,4.4,0.0,4.4,LA,44.5,1,27.0,0.925,12.1,50% projection,1,1,0.93,High,,"4.4 exp opps (proj 5, recent 4) · QB1 · vs LA (DvP 27, -7%) · High confidence",1.0,7.0,19,4.8,0.997,26.4,16.0
00-0040691,Jaxson Dart,QB,NYG,MrMasculinity,0,0,1,12508,2026-09-26T00:37:18Z,23.4,1,IR,RES,25.0,2025,2.0,5.660714285714286,0.0,5.660714285714286,0.6291071428571429,14.588928571428571,-11.0,-0.88,current,75% current / 25% prior,15.933333333333332,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,2.8,0.0,2.8,TEN,38.5,1,23.0,0.955,,50% projection,2,2,0.0,Low,IR,"2.8 exp opps (proj 0, recent 6) · QB2 · vs TEN (DvP 23, -5%) · Low confidence · IR",1.0,10.0,13,7.3,0.971,26.9,20.1
00-0038134,Kenneth Walker III,RB,KC,MrMasculinity,1,0,0,8151,2026-09-26T00:37:18Z,25.9,4,,ACT,41.0,2022,2.0,27.404411764705884,6.529411764705882,20.875,0.6797058823529412,24.534558823529416,5.0,0.14,current,75% current / 25% prior,22.900000000000002,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,18.05,88.36,0.67,3.99,3.53,28.93,0.2,20.41,18.65,16.88,22.04,0.645,0.135,18.71,0.5,24.7,5.3,19.5,MIA,45.5,0,3.0,1.105,23.0,50% projection,1,1,0.8,High,,"24.7 exp opps (proj 22, recent 27) · RB1 · 64% of team carries · vs MIA (DvP 3, +10%) · High confidence",0.64,27.667,17,17.4,0.516,21.4,9.1
00-0035685,David Montgomery,RB,HOU,MrMasculinity,1,0,0,5892,2026-09-26T00:37:18Z,29.3,7,,ACT,73.0,2019,2.0,14.375,2.301470588235294,12.073529411764707,0.47139705882352945,14.94220588235294,-15.0,0.03,current,75% current / 25% prior,12.266666666666666,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,15.3,52.91,0.85,2.17,1.97,15.38,0.09,14.39,13.4,12.41,17.47,0.54,0.073,13.45,0.5,15.9,2.2,13.7,IND,42.5,0,2.0,1.112,14.3,50% projection,1,1,0.82,High,,"15.9 exp opps (proj 17, recent 14) · RB1 · 54% of team carries · vs IND (DvP 2, +11%) · High confidence",0.477,15.667,6,15.2,0.49,19.7,7.1
00-0036275,D'Andre Swift,RB,CHI,MrMasculinity,1,0,0,6790,2026-09-26T00:37:18Z,27.7,6,,ACT,35.0,2020,2.0,19.234375,3.0,16.234375,0.6134375,20.559374999999996,2.0,0.11,current,75% current / 25% prior,15.866666666666667,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,14.55,61.67,0.7,2.33,1.84,11.66,0.05,13.66,12.74,11.82,16.880000000000003,0.509,0.09,12.75,0.5,18.1,2.7,15.4,PHI,41.5,1,19.0,0.985,14.1,50% projection,1,1,0.88,High,,"18.1 exp opps (proj 17, recent 19) · RB1 · 51% of team carries · vs PHI (DvP 19, -2%) · High confidence",0.663,19.0,18,17.3,0.584,22.8,12.4
00-0033293,Aaron Jones,RB,MIN,MrMasculinity,0,0,0,4199,2026-09-26T00:37:18Z,31.8,9,,ACT,182.0,2017,2.0,17.104166666666668,1.2291666666666665,15.875,0.6139583333333334,10.160416666666666,10.0,0.35,current,75% current / 25% prior,11.433333333333332,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,16.13,60.4,0.43,2.61,2.21,14.82,0.12,12.92,11.81,10.71,18.74,0.581,0.09,11.93,0.5,17.9,1.9,16.0,TB,42.5,0,17.0,1.0,11.7,50% projection,1,1,0.91,High,,"17.9 exp opps (proj 19, recent 17) · RB1 · 58% of team carries · vs TB (DvP 17, +0%) · High confidence",0.68,20.333,13,15.3,0.578,14.1,9.8
00-0041013,Emmett Johnson,RB,KC,MrMasculinity,0,0,0,13337,2026-09-26T00:37:18Z,23.0,0,,ACT,161.0,2026,2.0,7.0,2.0,5.0,0.27,7.15,-6.0,-0.18,current,75% current / 25% prior,6.15,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,3.64,15.3,0.14,1.32,1.15,10.28,0.08,5.04,4.47,3.9,4.96,0.13,0.045,4.45,0.5,6.0,1.7,4.3,MIA,45.5,0,3.0,1.105,5.9,50% projection,2,2,0.57,Med,,"6.0 exp opps (proj 5, recent 7) · RB2 · 13% of team carries · vs MIA (DvP 3, +10%) · Med confidence",0.27,7.0,0,,,7.5,6.2
00-0038933,Dalton Kincaid,TE,BUF,MrMasculinity,1,0,0,10236,2026-09-26T00:37:18Z,26.9,3,,ACT,25.0,2023,2.0,6.270833333333333,6.270833333333333,0.0,0.6110416666666666,17.814583333333335,2.0,-0.06,current,75% current / 25% prior,13.6,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,6.67,4.84,63.9,0.33,13.18,10.77,8.35,6.67,,0.212,10.79,0.5,6.5,6.5,0.0,LAC,49.5,1,10.0,1.052,12.8,50% projection,1,1,0.94,High,,"6.5 exp opps (proj 7, recent 6) · TE1 · 21% of team targets · vs LAC (DvP 10, +5%) · High confidence",0.513,5.667,6,6.0,0.577,18.0,10.7
00-0034383,Dalton Schultz,TE,HOU,MrMasculinity,0,0,0,5001,2026-09-26T00:37:18Z,30.2,8,,ACT,137.0,2018,2.0,9.808823529411764,9.808823529411764,0.0,0.6801470588235294,15.175735294117647,6.0,0.02,current,75% current / 25% prior,11.6,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,6.62,5.03,53.01,0.24,11.76,9.25,6.74,6.62,,0.224,9.26,0.5,8.2,8.2,0.0,IND,42.5,0,5.0,1.09,11.4,50% projection,1,1,0.67,Med,,"8.2 exp opps (proj 7, recent 10) · TE1 · 22% of team targets · vs IND (DvP 5, +9%) · Med confidence",0.76,9.333,19,6.7,0.706,15.4,8.1
00-0038935,Brenton Strange,TE,JAX,MrMasculinity,0,0,0,9480,2026-09-26T00:37:18Z,25.7,3,,ACT,61.0,2023,2.0,3.125,3.125,0.0,0.7533333333333334,7.708333333333334,-1.0,0.15,current,75% current / 25% prior,8.733333333333333,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,4.78,3.73,37.1,0.28,9.12,7.26,5.39,4.78,,0.151,7.26,0.5,4.0,4.0,0.0,NE,46.5,1,28.0,0.918,7.3,50% projection,1,1,0.65,Med,,"4.0 exp opps (proj 5, recent 3) · TE1 · 15% of team targets · vs NE (DvP 28, -8%) · Med confidence",0.84,6.333,13,4.9,0.778,12.3,7.7
00-0036970,Kyle Pitts,TE,ATL,MrMasculinity,0,0,0,7553,2026-09-26T00:37:18Z,26.0,5,,ACT,4.0,2021,3.0,3.235294117647059,3.235294117647059,0.0,0.62,4.1,0.5,-0.02,current,75% current / 25% prior,3.6,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,4.97,3.54,40.3,0.32,9.48,7.71,5.94,4.97,,0.181,7.72,0.4,3.9,3.9,0.0,GB,43.5,0,16.0,1.008,5.3,40% projection,1,1,0.65,Med,,"3.9 exp opps (proj 5, recent 3) · TE1 · 18% of team targets · vs GB (DvP 16, +1%) · Med confidence",0.93,10.333,19,6.4,0.852,15.2,5.8
00-0040584,Gunnar Helm,TE,TEN,MrMasculinity,0,0,0,12502,2026-09-26T00:37:18Z,24.1,1,,ACT,120.0,2025,2.0,3.484375,3.484375,0.0,0.74265625,5.2203124999999995,-3.0,0.11,current,75% current / 25% prior,2.5666666666666664,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,,,,4.14,3.38,28.44,0.16,7.2,5.51,3.82,4.14,,0.141,5.49,0.5,3.8,3.8,0.0,NYG,38.5,0,11.0,1.045,4.2,50% projection,1,1,0.84,High,,"3.8 exp opps (proj 4, recent 3) · TE1 · 14% of team targets · vs NYG (DvP 11, +4%) · High confidence",0.737,6.333,16,3.6,0.582,8.5,3.4
00-0038543,Jaxon Smith-Njigba,WR,SEA,MrMasculinity,1,0,0,9488,2026-09-26T00:37:18Z,24.6,3,,ACT,20.0,2023,2.0,10.75,10.647058823529411,0.10294117647058823,0.7822794117647058,31.055147058823533,-0.0,-0.23,current,75% current / 25% prior,23.866666666666664,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,0.43,2.15,0.01,9.31,6.7,103.87,0.74,21.84,18.49,15.14,9.74,0.015,0.324,18.45,0.5,10.2,10.0,0.3,WAS,40.5,0,6.0,1.082,22.9,50% projection,1,1,0.91,High,,"10.2 exp opps (proj 10, recent 11) · WR1 · 32% of team targets · vs WAS (DvP 6, +8%) · High confidence",0.923,12.333,19,10.1,0.775,27.6,18.0
00-0038606,Parker Washington,WR,JAX,MrMasculinity,1,0,0,9487,2026-09-26T00:37:18Z,24.5,3,,ACT,185.0,2023,2.0,8.34375,8.234375,0.109375,0.6859375,16.423437500000002,6.0,0.2,current,75% current / 25% prior,15.766666666666666,2026,3,sleeper,2026-09-26T00:37:18Z,,,,,0.49,1.37,0.01,7.72,4.98,73.71,0.44,15.19,12.7,10.21,8.209999999999999,0.018,0.244,12.7,0.5,8.3,8.0,0.3,NE,46.5,1,22.0,0.962,13.7,50% projection,1,1,0.98,High,,"8.3 exp opps (proj 8, recent 8) · WR1 · 24% of team targets · vs NE (DvP 22, -4%) · High confidence",0.877,10.333,13,8.1,0.752,16.9,9.3
